"Country Code","Population (Thousands)","Region","Country"
PRK,25549.604,"East Asia & Pacific","Dem. People's Republic of Korea"
PRT,10256.193000000001,"Europe & Central Asia","Portugal"
PRY,6956.066,"Latin America & Caribbean ","Paraguay"
PSE,4862.979,"Middle East & North Africa","State of Palestine"
PYF,277.67900000000003,"East Asia & Pacific","French Polynesia"
QAT,2781.6820000000002,"Middle East & North Africa","Qatar"
ROU,19506.113999999998,"Europe & Central Asia","Romania"
RUS,145734.038,"Europe & Central Asia","Russian Federation"
RWA,12301.97,"Sub-Saharan Africa ","Rwanda"
SAU,33702.756,"Middle East & North Africa","Saudi Arabia"
SDN,41801.532999999996,"Sub-Saharan Africa ","Sudan"
SEN,15854.323,"Sub-Saharan Africa ","Senegal"
SGP,5757.499,"East Asia & Pacific","Singapore"
SLB,652.857,"East Asia & Pacific","Solomon Islands"
SLE,7650.15,"Sub-Saharan Africa ","Sierra Leone"
SLV,6420.746,"Latin America & Caribbean ","El Salvador"
SMR,33.785,"Europe & Central Asia","San Marino"
SOM,15008.226,"Sub-Saharan Africa ","Somalia"
SRB,8802.754,"Europe & Central Asia","Serbia"
SSD,10975.927,"Sub-Saharan Africa ","South Sudan"
STP,211.028,"Sub-Saharan Africa ","Sao Tome and Principe"
SUR,575.99,"Latin America & Caribbean ","Suriname"
SVK,5453.014,"Europe & Central Asia","Slovakia"
SVN,2077.837,"Europe & Central Asia","Slovenia"
SWE,9971.638,"Europe & Central Asia","Sweden"
SWZ,1136.281,"Sub-Saharan Africa ","Eswatini"
SXM,41.94,"Latin America & Caribbean ","Sint Maarten (Dutch part)"
SYC,97.096,"Sub-Saharan Africa ","Seychelles"
SYR,16945.057,"Middle East & North Africa","Syrian Arab Republic"
TCA,37.665,"Latin America & Caribbean ","Turks and Caicos Islands"
TCD,15477.729,"Sub-Saharan Africa ","Chad"
TGO,7889.093000000001,"Sub-Saharan Africa ","Togo"
THA,69428.453,"East Asia & Pacific","Thailand"
TJK,9100.835,"Europe & Central Asia","Tajikistan"
TKM,5850.901,"Europe & Central Asia","Turkmenistan"
